Mortgage monthly repayments,dollars,%,Suburb
Households with mortgage repayments greater than 30% of household income,--,23.0,Wollert
Median mortgage repayments,"1,900",--,Airport West
Households where mortgage repayments are less than 30% of household income,--,93.9,Airport West
Households with mortgage repayments greater than 30% of household income,--,6.1,Airport West
Median mortgage repayments,"1,959",--,Keilor
Households where mortgage repayments are less than 30% of household income,--,92.2,Keilor
Households with mortgage repayments greater than 30% of household income,--,7.8,Keilor
Median mortgage repayments,"2,000",--,Keilor East
Households where mortgage repayments are less than 30% of household income,--,94.1,Keilor East
Households with mortgage repayments greater than 30% of household income,--,5.9,Keilor East
Median mortgage repayments,"2,000",--,Niddrie - Essendon West
Households where mortgage repayments are less than 30% of household income,--,93.2,Niddrie - Essendon West
Households with mortgage repayments greater than 30% of household income,--,6.8,Niddrie - Essendon West
Median mortgage repayments,"2,167",--,Strathmore
Households where mortgage repayments are less than 30% of household income,--,93.4,Strathmore
Households with mortgage repayments greater than 30% of household income,--,6.6,Strathmore
Median mortgage repayments,"1,993",--,Gisborne
Households where mortgage repayments are less than 30% of household income,--,91.5,Gisborne
Households with mortgage repayments greater than 30% of household income,--,8.5,Gisborne
Median mortgage repayments,"2,000",--,Macedon
Households where mortgage repayments are less than 30% of household income,--,91.3,Macedon
Households with mortgage repayments greater than 30% of household income,--,8.7,Macedon
Median mortgage repayments,"1,799",--,Riddells Creek
Households where mortgage repayments are less than 30% of household income,--,91.5,Riddells Creek
Households with mortgage repayments greater than 30% of household income,--,8.5,Riddells Creek
Median mortgage repayments,"1,733",--,Romsey
Households where mortgage repayments are less than 30% of household income,--,89.5,Romsey
Households with mortgage repayments greater than 30% of household income,--,10.5,Romsey
Median mortgage repayments,"2,000",--,Coburg North
Households where mortgage repayments are less than 30% of household income,--,92.7,Coburg North
Households with mortgage repayments greater than 30% of household income,--,7.3,Coburg North
Median mortgage repayments,"1,733",--,Fawkner
Households where mortgage repayments are less than 30% of household income,--,91.7,Fawkner
Households with mortgage repayments greater than 30% of household income,--,8.3,Fawkner
Median mortgage repayments,"1,950",--,Pascoe Vale
Households where mortgage repayments are less than 30% of household income,--,93.6,Pascoe Vale
Households with mortgage repayments greater than 30% of household income,--,6.4,Pascoe Vale
Median mortgage repayments,"1,733",--,Glenroy
Households where mortgage repayments are less than 30% of household income,--,93.1,Glenroy
Households with mortgage repayments greater than 30% of household income,--,6.9,Glenroy
Median mortgage repayments,"1,920",--,Gowanbrae
Households where mortgage repayments are less than 30% of household income,--,90.3,Gowanbrae
Households with mortgage repayments greater than 30% of household income,--,9.7,Gowanbrae
Median mortgage repayments,"1,638",--,Hadfield
Households where mortgage repayments are less than 30% of household income,--,92.9,Hadfield
Households with mortgage repayments greater than 30% of household income,--,7.1,Hadfield
Median mortgage repayments,"1,603",--,Sunbury
Households where mortgage repayments are less than 30% of household income,--,91.1,Sunbury
Households with mortgage repayments greater than 30% of household income,--,8.9,Sunbury
Median mortgage repayments,"1,600",--,Sunbury - South
Households where mortgage repayments are less than 30% of household income,--,91.5,Sunbury - South
Households with mortgage repayments greater than 30% of household income,--,8.5,Sunbury - South
Median mortgage repayments,"1,300",--,Broadmeadows
Households where mortgage repayments are less than 30% of household income,--,92.5,Broadmeadows
Households with mortgage repayments greater than 30% of household income,--,7.5,Broadmeadows
Median mortgage repayments,"1,380",--,Campbellfield - Coolaroo
Households where mortgage repayments are less than 30% of household income,--,88.3,Campbellfield - Coolaroo
Households with mortgage repayments greater than 30% of household income,--,11.7,Campbellfield - Coolaroo
Median mortgage repayments,"1,710",--,Gladstone Park - Westmeadows
Households where mortgage repayments are less than 30% of household income,--,92.0,Gladstone Park - Westmeadows
Households with mortgage repayments greater than 30% of household income,--,8.0,Gladstone Park - Westmeadows
Median mortgage repayments,"2,000",--,Greenvale - Bulla
Households where mortgage repayments are less than 30% of household income,--,86.8,Greenvale - Bulla
Households with mortgage repayments greater than 30% of household income,--,13.2,Greenvale - Bulla
Median mortgage repayments,"1,300",--,Meadow Heights
Households where mortgage repayments are less than 30% of household income,--,86.1,Meadow Heights
Households with mortgage repayments greater than 30% of household income,--,13.9,Meadow Heights
Median mortgage repayments,"1,650",--,Roxburgh Park - Somerton
Households where mortgage repayments are less than 30% of household income,--,79.1,Roxburgh Park - Somerton
Households with mortgage repayments greater than 30% of household income,--,20.9,Roxburgh Park - Somerton
Median mortgage repayments,"1,538",--,Tullamarine
Households where mortgage repayments are less than 30% of household income,--,92.3,Tullamarine
Households with mortgage repayments greater than 30% of household income,--,7.7,Tullamarine
Median mortgage repayments,"1,500",--,Craigieburn - Central
Households where mortgage repayments are less than 30% of household income,--,87.5,Craigieburn - Central
Households with mortgage repayments greater than 30% of household income,--,12.5,Craigieburn - Central
Median mortgage repayments,"1,820",--,Craigieburn - North
Households where mortgage repayments are less than 30% of household income,--,81.6,Craigieburn - North
Households with mortgage repayments greater than 30% of household income,--,18.4,Craigieburn - North
Median mortgage repayments,"1,733",--,Craigieburn - South
Households where mortgage repayments are less than 30% of household income,--,84.4,Craigieburn - South
Households with mortgage repayments greater than 30% of household income,--,15.6,Craigieburn - South
Median mortgage repayments,"1,850",--,Craigieburn - West
Households where mortgage repayments are less than 30% of household income,--,81.1,Craigieburn - West
Households with mortgage repayments greater than 30% of household income,--,18.9,Craigieburn - West
Median mortgage repayments,"1,907",--,Mickleham - Yuroke
Households where mortgage repayments are less than 30% of household income,--,80.0,Mickleham - Yuroke
Households with mortgage repayments greater than 30% of household income,--,20.0,Mickleham - Yuroke
Median mortgage repayments,"1,650",--,Bayswater
Households where mortgage repayments are less than 30% of household income,--,91.5,Bayswater
Households with mortgage repayments greater than 30% of household income,--,8.5,Bayswater
Median mortgage repayments,"1,800",--,Knoxfield - Scoresby
Households where mortgage repayments are less than 30% of household income,--,90.4,Knoxfield - Scoresby
Households with mortgage repayments greater than 30% of household income,--,9.6,Knoxfield - Scoresby
Median mortgage repayments,"2,000",--,Lysterfield
Households where mortgage repayments are less than 30% of household income,--,90.2,Lysterfield
Households with mortgage repayments greater than 30% of household income,--,9.8,Lysterfield
Median mortgage repayments,"1,733",--,Rowville - Central
Households where mortgage repayments are less than 30% of household income,--,91.0,Rowville - Central
Households with mortgage repayments greater than 30% of household income,--,9.0,Rowville - Central
Median mortgage repayments,"2,000",--,Rowville - North
Households where mortgage repayments are less than 30% of household income,--,89.5,Rowville - North
